city_left;city_right;response;rt;semester;student;age;id;sex;group;trial
Durban;Ibadan;Durban;10.7616;6;y;25;14;m;1;1
Ankara;London;London;3.2745;6;y;25;14;m;1;2
Tokio;Tianjin;Tokio;1.0850;6;y;25;14;m;1;3
Montreal;Santiago;Santiago;20.8609;6;y;25;14;m;1;4
Chongqing;Tokio;Tokio;10.9873;6;y;25;14;m;1;5
Ibadan;Tokio;Tokio;1.2800;6;y;25;14;m;1;6
Shanghai;Tianjin;Shanghai;1.8839;6;y;25;14;m;1;7
Kano;Busan;Busan;8.7602;6;y;25;14;m;1;8
Rangun;Bangkok;Bangkok;11.4028;6;y;25;14;m;1;9
Wuhan;Seoul;Seoul;5.9480;6;y;25;14;m;1;10
Bangkok;Durban;Durban;2.8317;6;y;25;14;m;1;11
Chongqing;Wuhan;Chongqing;3.0007;6;y;25;14;m;1;12
Harbin;Tianjin;Tianjin;3.3041;6;y;25;14;m;1;13
Durban;Seoul;Seoul;28.5449;6;y;25;14;m;1;14
Wuhan;Montreal;Montreal;8.1490;6;y;25;14;m;1;15
Kano;Chongqing;Chongqing;1.7534;6;y;25;14;m;1;16
Ibadan;Tianjin;Tianjin;3.0997;6;y;25;14;m;1;17
London;Shanghai;Shanghai;1.5255;6;y;25;14;m;1;18
London;Ibadan;London;2.0608;6;y;25;14;m;1;19
Tianjin;Seoul;Seoul;6.2547;6;y;25;14;m;1;20
Durban;Rangun;Durban;3.2582;6;y;25;14;m;1;21
Busan;Ibadan;Busan;7.2423;6;y;25;14;m;1;22
Bangkok;Ankara;Bangkok;1.1227;6;y;25;14;m;1;23
Ibadan;Bangkok;Bangkok;5.2529;6;y;25;14;m;1;24
Seoul;Busan;Seoul;3.2520;6;y;25;14;m;1;25
Bangkok;Kano;Bangkok;1.9354;6;y;25;14;m;1;26
Seoul;Ibadan;Seoul;3.6443;6;y;25;14;m;1;27
Kano;Santiago;Santiago;1.5165;6;y;25;14;m;1;28
London;Harbin;London;1.1256;6;y;25;14;m;1;29
Seoul;Santiago;Seoul;1.6825;6;y;25;14;m;1;30
Rangun;Shanghai;Shanghai;1.3998;6;y;25;14;m;1;31
Seoul;London;London;32.0970;6;y;25;14;m;1;32
Harbin;Tokio;Tokio;1.1388;6;y;25;14;m;1;33
Chongqing;Bangkok;Chongqing;3.9924;6;y;25;14;m;1;34
Shanghai;Wuhan;Shanghai;13.2253;6;y;25;14;m;1;35
Ibadan;Kano;Ibadan;1.9404;6;y;25;14;m;1;36
Santiago;Tokio;Tokio;1.5835;6;y;25;14;m;1;37
Shanghai;Ankara;Shanghai;1.4236;6;y;25;14;m;1;38
Shanghai;Montreal;Shanghai;1.2523;6;y;25;14;m;1;39
Bangkok;Tianjin;Bangkok;2.7374;6;y;25;14;m;1;40
Tokio;Kano;Tokio;1.0312;6;y;25;14;m;1;41
Tokio;Montreal;Tokio;0.5670;6;y;25;14;m;1;42
Tianjin;Santiago;Tianjin;1.5782;6;y;25;14;m;1;43
Bangkok;Seoul;Seoul;2.5148;6;y;25;14;m;1;44
Bangkok;London;London;1.0384;6;y;25;14;m;1;45
Wuhan;Tianjin;Tianjin;2.9371;6;y;25;14;m;1;46
Chongqing;Harbin;Chongqing;3.1492;6;y;25;14;m;1;47
Tianjin;Durban;Durban;1.1195;6;y;25;14;m;1;48
Rangun;Tokio;Tokio;3.2858;6;y;25;14;m;1;49
London;Rangun;London;1.6491;6;y;25;14;m;1;50
