# {'semester': '6', 'session': 'ses02-0.txt', 'student': 'y', 'age': '22', 'tstamp': '20160706_1142', 'id': '02', 'sex': 'f'}
city_left;city_right;response;rt
Santiago;Chongqing;Santiago;8.3467
Harbin;Ankara;Ankara;7.5271
London;Shanghai;Shanghai;1.9328
Tokio;Kano;Tokio;2.0100
Ankara;Durban;Ankara;2.3049
Rangun;Tokio;Tokio;1.6354
Seoul;Chongqing;Seoul;3.0164
Seoul;Busan;Seoul;4.9561
Busan;Shanghai;Shanghai;1.7333
Rangun;Ibadan;Rangun;9.0025
Harbin;Tianjin;Harbin;1.5199
Santiago;Ibadan;Santiago;3.6033
London;Ibadan;London;2.0443
Durban;Chongqing;Chongqing;1.5680
Kano;London;London;1.4936
Santiago;Bangkok;Bangkok;1.5357
Montreal;Busan;Montreal;1.2915
Shanghai;Durban;Shanghai;0.9344
Harbin;Wuhan;Harbin;2.1965
Wuhan;Santiago;Santiago;1.0980
Ibadan;Shanghai;Shanghai;0.9177
Wuhan;Kano;Kano;1.7496
Harbin;Durban;Harbin;2.0187
Wuhan;Durban;Durban;1.6416
Busan;Ibadan;Busan;2.2666
Tokio;Bangkok;Bangkok;3.1109
Wuhan;Tianjin;Tianjin;1.4523
Tokio;Montreal;Tokio;1.5121
Harbin;Kano;Harbin;1.2840
Kano;Durban;Durban;1.5690
Bangkok;Tianjin;Bangkok;1.0145
Wuhan;Rangun;Wuhan;4.2965
Durban;Rangun;Durban;1.6517
Seoul;London;Seoul;1.1088
Kano;Santiago;Santiago;2.7692
Durban;Busan;Durban;4.1346
Rangun;Bangkok;Bangkok;0.9803
Ankara;Wuhan;Ankara;0.8061
Montreal;Ibadan;Montreal;0.9085
Tianjin;Chongqing;Chongqing;1.0291
Tokio;Seoul;Seoul;1.2372
Chongqing;Ibadan;Chongqing;2.2952
Chongqing;Ankara;Ankara;2.1185
Bangkok;Montreal;Bangkok;0.7796
Bangkok;Wuhan;Bangkok;0.7274
Tianjin;London;London;1.0573
London;Chongqing;London;1.4352
Santiago;Rangun;Santiago;0.7117
Ibadan;Wuhan;Wuhan;1.1856
Rangun;Chongqing;Chongqing;0.9051
Kano;Montreal;Montreal;1.9050
Santiago;Shanghai;Shanghai;1.3929
Rangun;Busan;Busan;1.1360
Bangkok;Seoul;Seoul;0.8317
Rangun;Shanghai;Shanghai;4.2833
Durban;Montreal;Montreal;1.3588
Shanghai;Wuhan;Shanghai;0.6544
Montreal;Seoul;Seoul;1.3168
